issue_number,OriginationPhase,DetectionPhase,Category,Priority,Status,created_at,closed_at,Author
13960,Design,Testing,Inquiry,Critical,Completed,8/16/2020,,"Dietrich, Marge"
13961,Coding,Testing,Bug,Low,Completed,8/17/2020,8/30/2020,"Pouros, Carmela"
13962,Testing,Field,Enhancement,Medium,pendingReview,8/18/2020,8/31/2020,"Christiansen, Kathleen"
13963,Design,Testing,Inquiry,Critical,inProgress,8/19/2020,,"Smith, Romaine"
13964,Requirements,Coding,Bug,High,pendingReview,8/20/2020,9/2/2020,"Bayer, Westley"
13965,Requirements,Design,Inquiry,Low,Approved,8/21/2020,9/3/2020,"Sipes, Bobby"
13966,Testing,Field,Bug,Medium,pendingReview,8/22/2020,,"Kunde, Garry"
13967,Documentation,Field,Enhancement,Major,pendingReview,8/23/2020,,"Ondricka, Percy"
13968,Design,Testing,Inquiry,Critical,pendingReview,8/24/2020,9/6/2020,"Heller, Claire"
13969,Requirements,Coding,Bug,High,Completed,8/25/2020,,"Kunde, Garry"
13970,Requirements,Design,Inquiry,Low,Completed,8/26/2020,9/8/2020,"Walsh, Winston"
13971,Testing,Field,Bug,Medium,Completed,3/5/2020,3/16/2020,"Halvorson, Julia"
13972,Documentation,Field,Enhancement,Major,Completed,3/6/2020,,"Rohan, Carlee"
13973,Design,Coding,Inquiry,High,Completed,3/7/2020,,"Bernier, Teresa"
13974,Requirements,Testing,Bug,High,Completed,11/8/2020,11/19/2020,"Barrows, Breanne"
13975,Testing,Field,Bug,Medium,Completed,11/9/2020,11/20/2020,"Bayer, Westley"
13976,Documentation,Field,Enhancement,Major,Completed,11/10/2020,,"Little, Forest"
13977,Design,Coding,Inquiry,High,inProgress,11/11/2020,,"Prohaska, Mckenna"
13978,Coding,Testing,Bug,Low,pendingReview,11/12/2020,11/13/2020,"Shields, Milford"
13979,Design,Coding,Inquiry,High,Approved,11/13/2020,11/14/2020,"Barrows, Breanne"
13980,Coding,Testing,Bug,Low,pendingReview,11/14/2020,,"McCullough, Keegan"
13981,Testing,Field,Enhancement,Medium,pendingReview,11/15/2020,,"Schimmel, Eulah"
13982,Design,Testing,Inquiry,Critical,pendingReview,11/16/2020,,"Heller, Claire"
13983,Requirements,Coding,Bug,Critical,pendingReview,11/17/2020,,"Christiansen, Kathleen"
13984,Requirements,Design,Inquiry,Low,Approved,11/18/2020,12/12/2020,"McKenzie, Laury"
13985,Testing,Field,Bug,Medium,Approved,11/19/2020,,"Smitham, Frances"
13986,Documentation,Field,Inquiry,Major,pendingReview,11/20/2020,,"Schneider, Lexi"
13987,Design,Testing,Enhancement,High,Completed,11/21/2020,12/15/2020,"Smith, Romaine"
13988,Requirements,Design,Inquiry,Low,pendingReview,11/22/2020,,"Stehr, Rod"
13989,Testing,Field,Bug,Medium,Approved,11/23/2020,,"Gorczany, Louisa"
13990,Documentation,Field,Enhancement,Major,inProgress,11/24/2020,12/18/2020,"Anderson, Bernadine"
13991,Design,Testing,Bug,Critical,Rejected,11/25/2020,,"Satterfield, Lonny"
13992,Requirements,Coding,Bug,High,Rejected,3/4/2020,3/20/2020,"Kautzer, Vincenzo"
13993,Requirements,Design,Inquiry,Low,Rejected,3/5/2020,3/21/2020,"Huel, Ramiro"
13994,Testing,Field,Bug,Medium,Rejected,3/6/2020,,"Mitchell, Libby"
13995,Documentation,Field,Enhancement,Major,Completed,2/27/2020,3/23/2020,"Hodkiewicz, Stephania"
13996,Design,Coding,Inquiry,Low,Completed,2/28/2020,,"Rolfson, Demetris"
13997,Testing,Field,Bug,Medium,Approved,3/1/2020,,"O'Reilly, Elsie"
13998,Documentation,Field,Enhancement,Major,Approved,3/2/2020,3/26/2020,"Kunde, Garry"
13999,Design,Coding,Inquiry,High,Approved,3/3/2020,,"Pouros, Aracely"
14000,Coding,Testing,Bug,Low,Approved,3/4/2020,3/28/2020,"Jacobi, Arthur"
14001,Design,Coding,Inquiry,High,pendingReview,3/5/2020,,"King, Monica"
14002,Coding,Testing,Bug,Low,inProgress,3/6/2020,,"Pouros, Kenyon"
14003,Testing,Field,Enhancement,Medium,pendingReview,3/4/2020,3/15/2020,"Gorczany, Jayson"
14004,Design,Testing,Inquiry,Critical,Approved,3/5/2020,3/16/2020,"Eichmann, Forest"
14005,Testing,Field,Bug,Medium,Completed,3/6/2020,,"Wolf, Lawson"
14006,Documentation,Field,Enhancement,Major,Completed,3/7/2020,,"McLaughlin, Birdie"
14007,Design,Coding,Inquiry,High,Completed,3/8/2020,,"Haley, Keeley"
14008,Coding,Testing,Bug,Low,Completed,3/9/2020,3/10/2020,"Kerluke, Ben"
14009,Design,Coding,Inquiry,High,Completed,3/10/2020,,"Medhurst, Cristina"
14010,Testing,Field,Bug,Medium,Completed,3/11/2020,,"Hayes, Harvey"
14011,Documentation,Field,Enhancement,Major,Completed,3/12/2020,3/13/2020,"Schiller, Brant"
14012,Design,Coding,Inquiry,High,Completed,3/13/2020,3/14/2020,"Okuneva, Elenor"
14013,Coding,Testing,Bug,Low,Completed,3/14/2020,,"Reichert, Darren"
14014,Design,Coding,Inquiry,High,Completed,3/15/2020,,"Haley, Christine"
14015,Coding,Testing,Bug,Low,pendingReview,3/16/2020,,"Rice, Erling"
14016,Testing,Field,Enhancement,Medium,inProgress,3/17/2020,3/25/2020,"Kuphal, Trey"
14017,Design,Testing,Inquiry,Critical,pendingReview,3/18/2020,3/26/2020,"Reinger, Elnora"
14018,Requirements,Coding,Inquiry,High,Approved,3/19/2020,,"Hayes, Harvey"
14019,Requirements,Design,Inquiry,Low,pendingReview,3/20/2020,,"Friesen, Rose"
14020,Testing,Field,Inquiry,Medium,Completed,3/17/2020,3/25/2020,"Ziemann, Devon"
14021,Documentation,Field,Inquiry,Major,inProgress,2/27/2020,3/18/2020,"Russel, Forest"
14022,Design,Testing,Enhancement,High,Completed,2/28/2020,,"Watsica, Roel"
14023,Requirements,Design,Inquiry,Low,Completed,3/1/2020,3/20/2020,"Jacobs, Dock"
14024,Testing,Field,Bug,Medium,Approved,3/2/2020,3/3/2020,"Sporer, Richmond"
14025,Documentation,Field,Enhancement,Major,inProgress,3/3/2020,3/4/2020,"Bruen, Yoshiko"
14026,Design,Testing,Inquiry,Critical,Rejected,3/4/2020,3/15/2020,"Weber, Kyra"
14027,Requirements,Coding,Bug,High,Completed,3/5/2020,3/16/2020,"Kub, Tara"
14028,Requirements,Design,Inquiry,Low,pendingReview,8/6/2020,,"Ankunding, Danyka"
14029,Testing,Field,Bug,Medium,Approved,8/7/2020,,"Farrell, Elody"
14030,Documentation,Field,Enhancement,Major,Rejected,3/8/2020,3/19/2020,"Schiller, Brant"
14031,Design,Coding,Inquiry,High,Completed,3/9/2020,3/10/2020,"Jones, Veda"
14032,Requirements,Testing,Bug,High,pendingReview,3/10/2020,,"Green, Imani"
14033,Testing,Field,Bug,Medium,Approved,3/11/2020,,"Schneider, Dangelo"
14034,Documentation,Field,Enhancement,Major,inProgress,3/12/2020,3/13/2020,"Jones, Veda"
14035,Design,Coding,Inquiry,High,Rejected,2/13/2020,3/7/2020,"Reichert, Darren"
14036,Coding,Testing,Bug,Low,Rejected,1/5/2020,,"Friesen, Rose"
14037,Design,Coding,Inquiry,High,Rejected,1/6/2020,,"Kub, Tara"
14038,Coding,Testing,Bug,Low,Rejected,1/7/2020,,"Treutel, Maximillian"
14039,Testing,Field,Enhancement,Medium,Completed,1/8/2020,4/3/2020,"Jakubowski, Raphael"
14040,Design,Testing,Inquiry,Critical,inProgress,1/9/2020,4/10/2020,"Keebler, Clinton"
14041,Requirements,Coding,Bug,Critical,Completed,10/10/2020,,"Stokes, Santiago"
14042,Requirements,Design,Inquiry,Low,Completed,10/11/2020,,"Breitenberg, Giovanni"
14043,Testing,Field,Bug,Medium,Approved,10/12/2020,10/15/2020,"Ziemann, Devon"
14044,Documentation,Field,Inquiry,Major,Completed,10/13/2020,,"Friesen, Rose"
14045,Design,Testing,Enhancement,High,Completed,10/14/2020,,"Hermiston, Mara"
14046,Requirements,Design,Inquiry,Low,Approved,10/15/2020,10/18/2020,"Parker, Abraham"
14047,Design,Testing,Enhancement,High,inProgress,10/16/2020,,"Corwin, Dameon"
14048,Requirements,Design,Inquiry,Low,Rejected,10/17/2020,10/20/2020,"Ernser, Keven"
14049,Testing,Field,Bug,Medium,Completed,10/18/2020,10/21/2020,"Stokes, Mitchel"
14050,Documentation,Field,Enhancement,Major,pendingReview,10/19/2020,10/22/2020,"Marks, Perry"
14051,Design,Testing,Inquiry,Critical,Approved,10/20/2020,,"Hegmann, Justyn"
14052,Requirements,Coding,Bug,High,inProgress,10/21/2020,,"Moen, Moriah"
14053,Requirements,Design,Inquiry,Low,Rejected,10/22/2020,,"Hodkiewicz, Amelie"
14054,Testing,Field,Bug,Medium,Completed,3/2/2020,3/26/2020,"Gorczany, Katlyn"
14055,Documentation,Field,Enhancement,Major,pendingReview,3/3/2020,,"Erdman, Ressie"
14056,Design,Coding,Inquiry,High,inProgress,2/27/2020,3/18/2020,"Hessel, Cesar"
14057,Requirements,Testing,Bug,High,Completed,2/28/2020,,"Zemlak, Christophe"
14058,Documentation,Field,Inquiry,Major,Completed,3/1/2020,,"Yost, Erica"
14059,Design,Testing,Enhancement,High,pendingReview,3/2/2020,3/3/2020,"Botsford, Maximo"
14060,Requirements,Design,Inquiry,Low,inProgress,3/3/2020,,"Halvorson, Jaron"
14061,Testing,Field,Bug,Medium,Completed,12/4/2020,12/15/2020,"Mann, Emilia"
14062,Documentation,Field,Enhancement,Major,inProgress,12/5/2020,12/16/2020,"Flatley, Fabian"
14063,Design,Testing,Inquiry,Critical,Completed,12/6/2020,,"Stokes, Mitchel"
14064,Requirements,Coding,Bug,High,Completed,12/7/2020,,"Senger, Darrin"
14065,Requirements,Design,Inquiry,Low,Approved,12/8/2020,12/19/2020,"Casper, Vena"
14066,Testing,Field,Bug,Medium,inProgress,12/9/2020,12/20/2020,"Erdman, Ressie"
14067,Documentation,Field,Enhancement,Major,Rejected,12/10/2020,,"Kunde, Nathan"
14068,Design,Coding,Inquiry,High,Completed,12/11/2020,,"Kutch, Augusta"
14069,Requirements,Testing,Bug,High,pendingReview,12/12/2020,12/13/2020,"Klein, Meaghan"
14070,Testing,Field,Bug,Medium,Approved,12/13/2020,12/14/2020,"Ledner, Piper"
14071,Documentation,Field,Enhancement,Major,Rejected,12/14/2020,,"Goyette, Abelardo"
14072,Design,Coding,Inquiry,High,Completed,12/15/2020,,"Lueilwitz, Wellington"
14073,Coding,Testing,Bug,Low,pendingReview,12/16/2020,,"Sporer, Kamryn"
14074,Design,Coding,Inquiry,High,Approved,12/17/2020,3/25/2020,"Keebler, Camylle"
14075,Coding,Testing,Bug,Low,inProgress,12/18/2020,3/26/2020,"McDermott, Jamil"
14076,Testing,Field,Enhancement,Medium,Rejected,12/19/2020,,"Hessel, Cesar"
14077,Design,Testing,Inquiry,Critical,Completed,12/20/2020,,"Lebsack, Hershel"
14078,Requirements,Coding,Bug,Critical,pendingReview,3/17/2020,3/25/2020,"Stokes, Mitchel"
14079,Requirements,Design,Inquiry,Low,inProgress,2/27/2020,3/18/2020,"Goodwin, Kylee"
14080,Testing,Field,Bug,Medium,Completed,2/28/2020,,"Rolfson, Rosendo"
14081,Documentation,Field,Enhancement,Major,pendingReview,3/1/2020,,"Marks, Reba"
14082,Design,Testing,Bug,Critical,inProgress,3/2/2020,3/3/2020,"Abshire, Giles"
14083,Requirements,Coding,Bug,High,Completed,3/3/2020,,"Hessel, Cesar"
14084,Requirements,Design,Inquiry,Low,inProgress,3/4/2020,3/15/2020,"Casper, Vena"
14085,Testing,Field,Bug,Medium,Completed,3/5/2020,3/16/2020,"Larkin, Camilla"
14086,Documentation,Field,Enhancement,Major,Completed,3/6/2020,,"Bashirian, Erik"
14087,Design,Coding,Inquiry,Low,Approved,3/7/2020,,"Paucek, Gayle"
14088,Testing,Field,Bug,Medium,Completed,3/8/2020,3/19/2020,"Marquardt, Fiona"
14089,Documentation,Field,Enhancement,Major,pendingReview,3/9/2020,3/10/2020,"Turcotte, Lavina"
14090,Design,Coding,Inquiry,High,inProgress,3/10/2020,,"Kutch, Augusta"
14091,Documentation,Field,Enhancement,Major,Completed,3/11/2020,,"Crona, Joyce"
14092,Design,Testing,Bug,Critical,inProgress,3/12/2020,3/13/2020,"Kuhic, Durward"
14093,Requirements,Coding,Bug,High,Completed,2/13/2020,3/7/2020,"Halvorson, Jaron"
14094,Requirements,Design,Inquiry,Low,pendingReview,2/14/2020,,"Murphy, Jamel"
14095,Testing,Field,Bug,Medium,inProgress,2/15/2020,,"Lynch, Clint"
14096,Documentation,Field,Enhancement,Major,Completed,2/16/2020,,"Fay, Johann"
14097,Design,Coding,Inquiry,Low,inProgress,2/17/2020,3/11/2020,"Sauer, Yadira"
14098,Testing,Field,Bug,Medium,Completed,2/18/2020,3/12/2020,"Ernser, Keven"
14099,Documentation,Field,Enhancement,Major,Completed,2/19/2020,,"Bailey, Clinton"
14100,Documentation,Field,Enhancement,Major,Approved,2/20/2020,,"Goyette, Abelardo"
14101,Design,Coding,Inquiry,Low,inProgress,2/21/2020,3/15/2020,"Turcotte, Lavina"
14102,Testing,Field,Bug,Medium,Rejected,2/22/2020,,"Senger, Darrin"
14103,Documentation,Field,Enhancement,Major,Completed,2/23/2020,,"Gutmann, Kaylie"
14104,Design,Coding,Inquiry,High,pendingReview,2/24/2020,3/18/2020,"Ward, Daren"
14105,Coding,Testing,Bug,Low,Approved,2/25/2020,,"Paucek, Gayle"
14106,Design,Coding,Inquiry,High,Rejected,3/4/2020,3/20/2020,"Sporer, Kamryn"
14107,Coding,Testing,Bug,Low,Completed,3/5/2020,3/21/2020,"Stokes, Mitchel"
14108,Testing,Field,Enhancement,Medium,pendingReview,3/6/2020,,"Runolfsdottir, Heaven"
14109,Design,Testing,Inquiry,Critical,Approved,2/27/2020,,"Marks, Perry"
14110,Requirements,Coding,Bug,Critical,inProgress,2/28/2020,,"Gutmann, Kaylie"
14111,Requirements,Design,Inquiry,Low,Rejected,8/8/2020,,"Stokes, Mitchel"
14112,Testing,Field,Bug,Medium,Completed,8/9/2020,8/26/2020,"Brakus, Marco"
14113,Documentation,Field,Inquiry,Major,pendingReview,8/10/2020,,"Gerhold, Vicky"
14114,Design,Testing,Enhancement,High,inProgress,8/11/2020,8/28/2020,"Kuhic, Durward"
14115,Requirements,Design,Inquiry,Low,Completed,8/12/2020,8/29/2020,"Konopelski, Valentina"
14116,Testing,Field,Bug,Medium,Completed,8/13/2020,,"Medhurst, Cordelia"
14117,Documentation,Field,Enhancement,Major,pendingReview,8/14/2020,8/31/2020,"Ferry, Lilly"
14118,Design,Testing,Bug,Critical,inProgress,8/15/2020,9/1/2020,"Dietrich, Thurman"
14119,Requirements,Coding,Bug,High,Completed,8/16/2020,9/2/2020,"Crona, Joyce"
14120,Requirements,Design,Inquiry,Low,inProgress,8/17/2020,9/3/2020,"Hegmann, Lazaro"
14121,Testing,Field,Bug,Medium,Completed,8/18/2020,9/4/2020,"Klein, Meaghan"
14122,Documentation,Field,Enhancement,Major,Completed,8/19/2020,9/5/2020,"Marks, Reba"
14123,Design,Coding,Inquiry,Low,Approved,8/20/2020,9/6/2020,"Halvorson, Jaron"
14124,Testing,Field,Bug,Medium,inProgress,8/21/2020,9/7/2020,"Mann, Emilia"
14125,Documentation,Field,Enhancement,Major,Rejected,8/22/2020,9/8/2020,"Mraz, Sonia"
14126,Design,Coding,Inquiry,High,Completed,8/23/2020,9/9/2020,"Klein, Meaghan"
14127,Coding,Testing,Bug,Low,pendingReview,8/24/2020,9/10/2020,"Gerhold, Vicky"
14128,Design,Coding,Inquiry,High,Approved,8/25/2020,9/11/2020,"Corwin, Dameon"
14129,Coding,Testing,Bug,Low,Rejected,8/26/2020,9/12/2020,"Sauer, Yadira"
14130,Testing,Field,Enhancement,Medium,Approved,8/27/2020,9/13/2020,"Murphy, Jamel"
14131,Design,Testing,Inquiry,Critical,Rejected,2/27/2020,3/18/2020,"Yost, Erica"
14132,Testing,Field,Bug,Medium,Completed,2/28/2020,,"Abshire, Giles"
14133,Documentation,Field,Enhancement,Major,pendingReview,3/1/2020,,"Stehr, Fredy"
14134,Design,Coding,Inquiry,Low,Approved,3/2/2020,3/3/2020,"Hauck, Jeffery"
14135,Testing,Field,Bug,Medium,inProgress,3/3/2020,,"Jacobs, Terrell"
14136,Documentation,Field,Enhancement,Major,Rejected,3/4/2020,3/15/2020,"Medhurst, Cordelia"
14137,Design,Coding,Inquiry,High,Rejected,3/5/2020,3/16/2020,"Casper, Vena"
14138,Documentation,Field,Enhancement,Major,Rejected,3/6/2020,,"Botsford, Maximo"
14139,Design,Testing,Bug,Critical,Rejected,2/6/2020,,"Glover, Louvenia"
14140,Requirements,Coding,Bug,High,Completed,10/7/2020,10/19/2020,"O'Connell, Vladimir"
14141,Requirements,Design,Inquiry,Low,pendingReview,10/8/2020,10/20/2020,"Runolfsdottir, Heaven"
14142,Testing,Field,Bug,Medium,Approved,10/9/2020,,"O'Connell, Vladimir"
14143,Documentation,Field,Enhancement,Major,Rejected,10/10/2020,10/22/2020,"Jast, Armani"
14144,Design,Coding,Inquiry,Low,Completed,10/11/2020,10/23/2020,"Rempel, Loma"
14145,Testing,Field,Bug,Medium,pendingReview,10/12/2020,10/24/2020,"Kub, Norval"
14146,Documentation,Field,Enhancement,Major,Approved,10/13/2020,,"Wiza, Madyson"
14147,Documentation,Field,Enhancement,Major,inProgress,10/14/2020,10/26/2020,"Stark, Scottie"
14148,Design,Coding,Inquiry,Low,Rejected,10/15/2020,,"McClure, Laurie"
14149,Testing,Field,Bug,Medium,Completed,10/16/2020,10/28/2020,"Herzog, Valentine"
14150,Documentation,Field,Enhancement,Major,pendingReview,10/17/2020,10/29/2020,"Bruen, Aisha"
14151,Design,Coding,Inquiry,High,inProgress,2/18/2020,,"Feeney, Vivien"
14152,Coding,Testing,Bug,Low,Completed,1/11/2020,,"Bosco, Alvina"
14153,Design,Coding,Inquiry,High,Completed,1/12/2020,2/15/2020,"Baumbach, Jayne"
14154,Coding,Testing,Bug,Low,pendingReview,1/13/2020,,"Corkery, Ronny"
14155,Testing,Field,Enhancement,Medium,inProgress,1/14/2020,,"Hoppe, Marcelo"
14156,Design,Testing,Inquiry,Critical,Completed,1/15/2020,2/18/2020,"Wehner, Eula"
14157,Requirements,Coding,Bug,Critical,inProgress,1/16/2020,,"Rath, Evie"
14158,Requirements,Design,Inquiry,Low,Completed,1/17/2020,,"Schiller, Gracie"
14159,Testing,Field,Bug,Medium,Completed,1/18/2020,3/21/2020,"Gleichner, Nigel"
14160,Documentation,Field,Inquiry,Major,Approved,1/19/2020,,"Barton, Mathias"
14161,Design,Testing,Enhancement,High,inProgress,1/20/2020,3/23/2020,"Moore, Jules"
14162,Requirements,Design,Inquiry,Low,Rejected,1/21/2020,,"Strosin, Domenic"
14163,Testing,Field,Bug,Medium,Completed,1/22/2020,,"Mitchell, Ronny"
14164,Documentation,Field,Enhancement,Major,pendingReview,12/2/2020,12/16/2020,"McClure, Laurie"
14165,Design,Testing,Bug,Critical,Completed,12/3/2020,12/17/2020,"McClure, Laurie"
14166,Requirements,Coding,Bug,High,Completed,12/4/2020,12/18/2020,"Haag, Alford"
14167,Requirements,Design,Inquiry,Low,Completed,12/5/2020,12/19/2020,"Howell, Daija"
14168,Testing,Field,Bug,Medium,Completed,12/6/2020,12/20/2020,"Schiller, Gracie"
14169,Documentation,Field,Enhancement,Major,Completed,12/7/2020,12/21/2020,"Will, Stacey"
14170,Design,Coding,Inquiry,Low,Completed,12/8/2020,12/22/2020,"McClure, Laurie"
14171,Testing,Field,Bug,Medium,Completed,12/9/2020,12/23/2020,"Quitzon, Tanya"
14172,Documentation,Field,Enhancement,Major,pendingReview,12/10/2020,12/24/2020,"McClure, Sammy"
14173,Design,Coding,Inquiry,High,inProgress,12/11/2020,12/25/2020,"Okuneva, Rylee"
14174,Design,Testing,Bug,Critical,pendingReview,12/12/2020,12/26/2020,"Kessler, Aditya"
14175,Requirements,Coding,Bug,High,Approved,12/13/2020,12/27/2020,"Bruen, Margie"
14176,Requirements,Design,Inquiry,Low,pendingReview,1/19/2020,,"Lesch, Sid"
14177,Testing,Field,Bug,Medium,pendingReview,1/20/2020,3/23/2020,"Nolan, Clinton"
14178,Documentation,Field,Enhancement,Major,pendingReview,1/21/2020,,"Kessler, Aditya"
14179,Design,Coding,Inquiry,Low,Completed,1/22/2020,,"Hermann, Yasmine"
14180,Testing,Field,Bug,Medium,Completed,8/2/2020,8/26/2020,"Blanda, Esmeralda"
14181,Documentation,Field,Enhancement,Major,Completed,8/3/2020,,"Stracke, Nels"
14182,Design,Coding,Inquiry,High,Rejected,8/4/2020,8/28/2020,"Kulas, Kelton"
14183,Coding,Testing,Bug,Low,Rejected,8/5/2020,,"Feeney, Vivien"
14184,Design,Coding,Inquiry,High,Completed,8/6/2020,,"Kozey, Gregory"
14185,Coding,Testing,Bug,Low,Completed,8/7/2020,,"Mante, Aryanna"
14186,Requirements,Coding,Inquiry,Low,Completed,8/8/2020,9/1/2020,"Stark, Scottie"
14187,Testing,Field,Bug,Medium,inProgress,8/9/2020,9/2/2020,"Okuneva, Rylee"
14188,Documentation,Field,Enhancement,Major,Completed,8/10/2020,,"Mante, Aryanna"
14189,Requirements,Testing,Bug,High,inProgress,8/11/2020,,"Sawayn, Laney"
14190,Testing,Field,Bug,Medium,Completed,8/12/2020,,"Kulas, Kelton"
14191,Documentation,Field,Enhancement,Major,Completed,8/13/2020,9/6/2020,"Ondricka, Rosella"
14192,Design,Coding,Inquiry,High,Approved,8/14/2020,9/7/2020,"Mitchell, Ronny"
14193,Coding,Testing,Bug,Low,inProgress,8/15/2020,9/8/2020,"Crist, Declan"
14194,Design,Coding,Inquiry,High,Rejected,8/16/2020,9/9/2020,"Kessler, Aditya"
14195,Coding,Testing,Bug,Low,Completed,8/17/2020,9/10/2020,"Bradtke, Elyssa"
14196,Testing,Field,Enhancement,Medium,pendingReview,8/18/2020,9/11/2020,"Grimes, Belle"
14197,Design,Testing,Inquiry,Critical,Approved,8/19/2020,9/12/2020,"Cummings, Mckenzie"
14198,Requirements,Coding,Bug,Critical,Rejected,8/20/2020,9/13/2020,"Corkery, Ronny"
14199,Requirements,Design,Inquiry,Low,Completed,8/21/2020,9/14/2020,"Stracke, Nels"
14200,Testing,Field,Bug,Medium,pendingReview,8/22/2020,9/15/2020,"Rath, Kyle"
14201,Documentation,Field,Inquiry,Major,Approved,8/23/2020,9/16/2020,"Mitchell, Ronny"
14202,Design,Testing,Enhancement,High,inProgress,8/24/2020,9/17/2020,"Lang, Emilio"
14203,Requirements,Design,Inquiry,Low,Rejected,8/25/2020,9/18/2020,"Baumbach, Ralph"
14204,Testing,Field,Bug,Medium,Completed,8/26/2020,9/19/2020,"Kihn, Kristofer"
14205,Documentation,Field,Enhancement,Major,pendingReview,8/27/2020,9/20/2020,"Farrell, Roel"
14206,Design,Testing,Bug,Critical,inProgress,8/28/2020,9/21/2020,"Rolfson, Ariel"
14207,Requirements,Coding,Bug,High,Completed,8/29/2020,9/22/2020,"Wehner, Eula"
14208,Requirements,Design,Inquiry,Low,pendingReview,8/30/2020,9/23/2020,"Moore, Jules"
14209,Testing,Field,Bug,Medium,inProgress,8/31/2020,,"Nikolaus, Korey"
14210,Documentation,Field,Enhancement,Major,Completed,3/1/2020,,"Nikolaus, Monserrat"
14211,Design,Coding,Inquiry,Low,inProgress,3/2/2020,3/3/2020,"Deckow, Angelita"
14212,Testing,Field,Bug,Medium,Completed,3/3/2020,,"Quitzon, Tanya"
14213,Documentation,Field,Enhancement,Major,Completed,11/4/2020,11/15/2020,"Pouros, Kenyon"
14214,Design,Coding,Inquiry,High,Approved,11/5/2020,11/16/2020,"Gorczany, Jayson"
14215,Coding,Testing,Bug,Low,Completed,11/6/2020,11/17/2020,"Eichmann, Forest"
14216,Design,Coding,Inquiry,High,Completed,11/7/2020,,"Wolf, Lawson"
14217,Requirements,Design,Inquiry,Low,Completed,11/8/2020,11/19/2020,"McLaughlin, Birdie"
14218,Testing,Field,Bug,Medium,Completed,11/9/2020,11/20/2020,"Haley, Keeley"
14219,Documentation,Field,Enhancement,Major,pendingReview,3/10/2020,,"Kerluke, Ben"
14220,Design,Coding,Inquiry,Low,inProgress,3/11/2020,,"Medhurst, Cristina"
14221,Testing,Field,Bug,Medium,pendingReview,3/12/2020,,"Hayes, Harvey"
14222,Documentation,Field,Enhancement,Major,Approved,3/13/2020,3/14/2020,"Schiller, Brant"
14223,Documentation,Field,Enhancement,Major,pendingReview,3/14/2020,,"Okuneva, Elenor"
14224,Design,Coding,Inquiry,Low,pendingReview,3/15/2020,,"Reichert, Darren"
14225,Testing,Field,Bug,Medium,pendingReview,3/16/2020,3/24/2020,"Haley, Christine"
14226,Documentation,Field,Enhancement,Major,Completed,3/17/2020,,"Rice, Erling"
14227,Design,Coding,Inquiry,High,Completed,3/18/2020,3/26/2020,"Kuphal, Trey"
14228,Design,Testing,Bug,Critical,Completed,3/19/2020,,"Reinger, Elnora"
14229,Requirements,Coding,Bug,High,Rejected,11/20/2020,11/28/2020,"Hayes, Harvey"
14230,Requirements,Design,Inquiry,Low,Rejected,11/21/2020,11/29/2020,"Friesen, Rose"
14231,Testing,Field,Bug,Medium,Rejected,11/22/2020,11/30/2020,"Ziemann, Devon"
14232,Documentation,Field,Enhancement,Major,Completed,2/28/2020,,"Russel, Forest"
14233,Design,Coding,Inquiry,Low,Completed,11/1/2020,,"Watsica, Roel"
14234,Documentation,Field,Enhancement,Major,inProgress,11/2/2020,11/8/2020,"Jacobs, Dock"
14235,Design,Coding,Inquiry,High,Completed,11/3/2020,,"Sporer, Richmond"
14236,Coding,Testing,Bug,Low,inProgress,11/4/2020,,"Bruen, Yoshiko"
14237,Design,Coding,Inquiry,High,Completed,11/5/2020,11/11/2020,"Weber, Kyra"
14238,Requirements,Design,Inquiry,Low,Completed,11/6/2020,11/12/2020,"Kub, Tara"
14239,Testing,Field,Bug,Medium,Approved,11/7/2020,,"Ankunding, Danyka"
14240,Documentation,Field,Enhancement,Major,inProgress,11/8/2020,,"Farrell, Elody"
14241,Design,Coding,Inquiry,Low,Rejected,11/9/2020,11/15/2020,"Schiller, Brant"
14242,Testing,Field,Bug,Medium,Completed,11/10/2020,11/16/2020,"Jones, Veda"
14243,Documentation,Field,Enhancement,Major,pendingReview,11/11/2020,,"Green, Imani"
14244,Documentation,Field,Enhancement,Major,Approved,11/12/2020,,"Schneider, Dangelo"
14245,Design,Coding,Inquiry,Low,Rejected,11/13/2020,,"Jones, Veda"
14246,Requirements,Design,Inquiry,Low,Completed,11/17/2020,12/11/2020,"Reichert, Darren"
14247,Testing,Field,Bug,Medium,pendingReview,11/18/2020,12/12/2020,"Friesen, Rose"
14248,Documentation,Field,Enhancement,Major,Approved,11/19/2020,,"Kub, Tara"
14249,Design,Coding,Inquiry,Low,inProgress,11/20/2020,,"Treutel, Maximillian"
14250,Testing,Field,Bug,Medium,Rejected,11/21/2020,12/15/2020,"Jakubowski, Raphael"
14251,Documentation,Field,Enhancement,Major,Completed,11/22/2020,,"Keebler, Clinton"
14252,Documentation,Field,Enhancement,Major,pendingReview,11/23/2020,,"Stokes, Santiago"
14253,Design,Coding,Inquiry,Low,inProgress,11/24/2020,12/18/2020,"Breitenberg, Giovanni"
14254,Testing,Field,Bug,Medium,Completed,11/25/2020,,"Ziemann, Devon"
14255,Documentation,Field,Enhancement,Major,pendingReview,3/4/2020,3/20/2020,"Friesen, Rose"
14256,Design,Coding,Inquiry,High,inProgress,3/5/2020,3/21/2020,"Hermiston, Mara"
14257,Coding,Testing,Bug,Low,Approved,3/6/2020,,"Parker, Abraham"
